item_id,name,category,subcategory,description,price
I001,Coral Tote,Handbags,Tote,"This tote is a key piece from our Pre-Fall 2024 lineup, crafted in premium Italian wool. It combines durability with luxury and is perfect for transitional weather. The silhouette reflects a minimalist aesthetic, ideal for versatile day-to-night looks. Its color palette of LightCoral and LightSeaGreen complements most wardrobes while making a subtle statement. The piece is part of our 'Wanderlust Collection', which draws inspiration from modern architecture. Tailored to flatter all body types, it ensures both elegance and comfort. The stitching detail has been carefully refined for a sophisticated finish. Wear it over a monochrome ensemble or layer it with textured accessories. Our artisans have ensured that each piece is made with sustainable practices. Limited availability, as this tote is a standout from our curated selection.",2529.88
I002,Green Sneakers,Footwear,Sneakers,"This sneakers is a key piece from our Spring/Summer 2025 lineup, crafted in premium organic cotton. It combines durability with luxury and is perfect for transitional weather. The silhouette reflects a minimalist aesthetic, ideal for versatile day-to-night looks. Its color palette of Moccasin and WhiteSmoke complements most wardrobes while making a subtle statement. The piece is part of our 'Metropolitan Muse', which draws inspiration from modern architecture. Tailored to flatter all body types, it ensures both elegance and comfort. The stitching detail has been carefully refined for a sophisticated finish. Wear it over a monochrome ensemble or layer it with textured accessories. Our artisans have ensured that each piece is made with sustainable practices. Limited availability, as this sneakers is a standout from our curated selection.",2955.69
I003,PowderBlue Jacket,Outerwear,Jacket,"This jacket is a key piece from our Spring/Summer 2025 lineup, crafted in premium vegan leather. It combines durability with luxury and is perfect for transitional weather. The silhouette reflects a bold statement look, ideal for versatile day-to-night looks. Its color palette of SaddleBrown and MediumPurple complements most wardrobes while making a subtle statement. The piece is part of our 'Eternal Elegance', which draws inspiration from nature's symmetry. Tailored to flatter all body types, it ensures both elegance and comfort. The stitching detail has been carefully refined for a sophisticated finish. Wear it over a monochrome ensemble or layer it with textured accessories. Our artisans have ensured that each piece is made with sustainable practices. Limited availability, as this jacket is a standout from our curated selection.",1719.88
I004,IndianRed Scarf,Accessories,Scarf,"This scarf is a key piece from our Pre-Fall 2024 lineup, crafted in premium cashmere blend. It combines durability with luxury and is perfect for transitional weather. The silhouette reflects a minimalist aesthetic, ideal for versatile day-to-night looks. Its color palette of MediumBlue and OldLace complements most wardrobes while making a subtle statement. The piece is part of our 'Wanderlust Collection', which draws inspiration from modern architecture. Tailored to flatter all body types, it ensures both elegance and comfort. The stitching detail has been carefully refined for a sophisticated finish. Wear it over a monochrome ensemble or layer it with textured accessories. Our artisans have ensured that each piece is made with sustainable practices. Limited availability, as this scarf is a standout from our curated selection.",2169.88
I005,SandyBrown Scarf,Accessories,Scarf,"This scarf is a key piece from our Fall/Winter 2024 lineup, crafted in premium organic cotton. It combines durability with luxury and is perfect for transitional weather. The silhouette reflects a urban chic silhouette, ideal for versatile day-to-night looks. Its color palette of DarkBlue and Gold complements most wardrobes while making a subtle statement. The piece is part of our 'Eternal Elegance', which draws inspiration from modern architecture. Tailored to flatter all body types, it ensures both elegance and comfort. The stitching detail has been carefully refined for a sophisticated finish. Wear it over a monochrome ensemble or layer it with textured accessories. Our artisans have ensured that each piece is made with sustainable practices. Limited availability, as this scarf is a standout from our curated selection.",1548.09
I006,MediumAquaMarine Coat,Outerwear,Coat,"This coat is a key piece from our Pre-Fall 2024 lineup, crafted in premium cashmere blend. It combines durability with luxury and is perfect for transitional weather. The silhouette reflects a vintage-inspired design, ideal for versatile day-to-night looks. Its color palette of Indigo and Pink complements most wardrobes while making a subtle statement. The piece is part of our 'Eternal Elegance', which draws inspiration from modern architecture. Tailored to flatter all body types, it ensures both elegance and comfort. The stitching detail has been carefully refined for a sophisticated finish. Wear it over a monochrome ensemble or layer it with textured accessories. Our artisans have ensured that each piece is made with sustainable practices. Limited availability, as this coat is a standout from our curated selection.",2623.15
I007,Silver Gloves,Accessories,Gloves,"This gloves is a key piece from our Fall/Winter 2024 lineup, crafted in premium vegan leather. It combines durability with luxury and is perfect for transitional weather. The silhouette reflects a vintage-inspired design, ideal for versatile day-to-night looks. Its color palette of White and DarkRed complements most wardrobes while making a subtle statement. The piece is part of our 'Eternal Elegance', which draws inspiration from modern architecture. Tailored to flatter all body types, it ensures both elegance and comfort. The stitching detail has been carefully refined for a sophisticated finish. Wear it over a monochrome ensemble or layer it with textured accessories. Our artisans have ensured that each piece is made with sustainable practices. Limited availability, as this gloves is a standout from our curated selection.",2803.17
I008,Aquamarine Loafers,Footwear,Loafers,"This loafers is a key piece from our Resort 2025 lineup, crafted in premium organic cotton. It combines durability with luxury and is perfect for transitional weather. The silhouette reflects a vintage-inspired design, ideal for versatile day-to-night looks. Its color palette of RoyalBlue and Gray complements most wardrobes while making a subtle statement. The piece is part of our 'Noir Lumière', which draws inspiration from classic Hollywood glamor. Tailored to flatter all body types, it ensures both elegance and comfort. The stitching detail has been carefully refined for a sophisticated finish. Wear it over a monochrome ensemble or layer it with textured accessories. Our artisans have ensured that each piece is made with sustainable practices. Limited availability, as this loafers is a standout from our curated selection.",1972.46
I009,MediumSpringGreen Gloves,Accessories,Gloves,"This gloves is a key piece from our Fall/Winter 2024 lineup, crafted in premium cashmere blend. It combines durability with luxury and is perfect for transitional weather. The silhouette reflects a vintage-inspired design, ideal for versatile day-to-night looks. Its color palette of BlanchedAlmond and PaleVioletRed complements most wardrobes while making a subtle statement. The piece is part of our 'Noir Lumière', which draws inspiration from Parisian street style. Tailored to flatter all body types, it ensures both elegance and comfort. The stitching detail has been carefully refined for a sophisticated finish. Wear it over a monochrome ensemble or layer it with textured accessories. Our artisans have ensured that each piece is made with sustainable practices. Limited availability, as this gloves is a standout from our curated selection.",862.8
I010,MediumSpringGreen Loafers,Footwear,Loafers,"This loafers is a key piece from our Spring/Summer 2025 lineup, crafted in premium vegan leather. It combines durability with luxury and is perfect for transitional weather. The silhouette reflects a minimalist aesthetic, ideal for versatile day-to-night looks. Its color palette of Purple and MediumSpringGreen complements most wardrobes while making a subtle statement. The piece is part of our 'Noir Lumière', which draws inspiration from modern architecture. Tailored to flatter all body types, it ensures both elegance and comfort. The stitching detail has been carefully refined for a sophisticated finish. Wear it over a monochrome ensemble or layer it with textured accessories. Our artisans have ensured that each piece is made with sustainable practices. Limited availability, as this loafers is a standout from our curated selection.",2242.14
